史料,分類,タイトル,読み,pos,画像,wikipedia,コトバンク
１８,船,廣東船式,,1,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=1,,
http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://diyhistory.org/hi/omekac/oa/collections/42/manifest.json,,新會縣尖尾船式,,2,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=2,,
,,東莞縣大頭船,,3,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=3,,
,,大福船式,,4,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=4,,
,,草（捕）船式,,5,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=5,,
,,海滄船式,,6,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=6,,
,,開浪船式,,7,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=7,,
,,高把稍船式,,8,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=8,,
,,艟（舟喬）船式,,9,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=9,,
,,蒼山船式,,10,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=10,,
,,八■船,,11,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=11,,
,,鷹船式,,12,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=12,,
,,漁船式,,13,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=13,,
,,網■船式,,14,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=14,,
,,两頭舡,,15,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=15,,
,,蜈蚣船式,,16,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=16,,
,,沙船式,,17,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=17,,
,武器,■兵盔甲,,18,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=18,,
,,燕尾牌式,,19,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=19,,
,,挨牌,,20,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179cb1e1b0604017afca2b/1&lang=ja&pos=20,,
１９,,藤牌,,1,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=1,,
http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://diyhistory.org/hi/omekac/oa/collections/43/manifest.json,,,,2,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=2,,
,,彿狼機式,,3,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=3,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%AD%E7%A0%B2,
,,彿狼機式,,4,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=4,,
,,側立裏面鬼撑形／側立外形,,5,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=5,,
,,鳥嘴銃,,6,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=6,,
,,架内搬鬼形／鳥銃龍頭式,,7,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=7,,https://kotobank.jp/word/%E9%B3%A5%E9%8A%83-568542
